ea_id,futbin_id,card_name,short_name,long_name,player_positions,overall,club_name,league_name,league_level,nationality,pace,shooting,passing,dribbling,defending,physic
158023,371,Messi,L. Messi,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,Paris Saint-Germain,French Ligue 1,1,Argentina,85,92,91,95,34,65
188545,375,Lewandowski,R. Lewandowski,Robert Lewandowski,ST,92,FC Bayern München,German 1. Bundesliga,1,Poland,78,92,79,85,44,82
20801,426,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",91,Manchester United,English Premier League,1,Portugal,87,94,80,87,34,75
190871,373,Neymar Jr,Neymar Jr,Neymar da Silva Santos Júnior,"LW, CAM",91,Paris Saint-Germain,French Ligue 1,1,Brazil,91,83,86,94,37,63
192985,380,De Bruyne,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,Manchester City,English Premier League,1,Belgium,76,86,93,88,64,78
200389,384,Oblak,J. Oblak,Jan Oblak,GK,91,Atlético de Madrid,Spain Primera Division,1,Slovenia,,,,,,
231747,323,Mbappé,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,Paris Saint-Germain,French Ligue 1,1,France,97,88,80,92,36,77
167495,377,Neuer,M. Neuer,Manuel Peter Neuer,GK,90,FC Bayern München,German 1. Bundesliga,1,Germany,,,,,,
192448,381,ter Stegen,M. ter Stegen,Marc-André ter Stegen,GK,90,FC Barcelona,Spain Primera Division,1,Germany,,,,,,
202126,382,Kane,H. Kane,Harry Kane,ST,90,Tottenham Hotspur,English Premier League,1,England,70,91,83,82,47,83
215914,383,Kanté,N. Kanté,N'Golo Kanté,"CDM, CM",90,Chelsea,English Premier League,1,France,78,66,75,81,87,83
165153,374,Benzema,K. Benzema,Karim Benzema,"CF, ST",89,Real Madrid CF,Spain Primera Division,1,France,76,86,81,87,39,77
192119,368,Courtois,T. Courtois,Thibaut Courtois,GK,89,Real Madrid CF,Spain Primera Division,1,Belgium,,,,,,
200104,346,Son,H. Son,손흥민 孙兴慜,"LM, CF, LW",89,Tottenham Hotspur,English Premier League,1,Korea Republic,88,87,82,86,43,69
200145,367,Casemiro,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,Real Madrid CF,Spain Primera Division,1,Brazil,65,73,76,72,86,90
203376,372,van Dijk,V. van Dijk,Virgil van Dijk,CB,89,Liverpool,English Premier League,1,Netherlands,78,60,71,71,91,84
208722,365,Mané,S. Mané,Sadio Mané,LW,89,Liverpool,English Premier League,1,Senegal,91,83,80,90,44,77
209331,376,Salah,M. Salah,Mohamed Salah Ghaly,RW,89,Liverpool,English Premier League,1,Egypt,90,87,81,90,45,75
210257,366,Ederson,Ederson,Ederson Santana de Moraes,GK,89,Manchester City,English Premier League,1,Brazil,,,,,,
212622,370,Kimmich,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",89,FC Bayern München,German 1. Bundesliga,1,Germany,70,73,86,84,83,79
212831,369,Alisson,Alisson,Alisson Ramsés Becker,GK,89,Liverpool,English Premier League,1,Brazil,,,,,,
230621,379,Donnarumma,G. Donnarumma,Gianluigi Donnarumma,GK,89,Paris Saint-Germain,French Ligue 1,1,Italy,,,,,,
155862,589,Sergio Ramos,Sergio Ramos,Sergio Ramos García,CB,88,Paris Saint-Germain,French Ligue 1,1,Spain,70,70,76,73,88,84
176580,548,Suárez,L. Suárez,Luis Alberto Suárez Díaz,ST,88,Atlético de Madrid,Spain Primera Division,1,Uruguay,72,90,82,83,47,83
182521,397,Kroos,T. Kroos,Toni Kroos,CM,88,Real Madrid CF,Spain Primera Division,1,Germany,53,81,91,81,71,68
192505,387,Lukaku,R. Lukaku,Romelu Lukaku Menama,ST,88,Chelsea,English Premier League,1,Belgium,84,87,74,78,39,83
193041,593,Navas,K. Navas,Keylor Navas Gamboa,GK,88,Paris Saint-Germain,French Ligue 1,1,Costa Rica,,,,,,
202652,442,Sterling,R. Sterling,Raheem Sterling,"LW, RW",88,Manchester City,English Premier League,1,England,91,82,79,88,45,66
212198,571,Bruno Fernandes,Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,88,Manchester United,English Premier League,1,Portugal,75,86,89,84,70,77
239085,415,Haaland,E. Haaland,Erling Braut Haaland,ST,88,Borussia Dortmund,German 1. Bundesliga,1,Norway,89,91,65,80,45,88
153079,673,Agüero,S. Agüero,Sergio Leonel Agüero del Castillo,ST,87,FC Barcelona,Spain Primera Division,1,Argentina,71,89,75,87,33,69
167948,580,Lloris,H. Lloris,Hugo Lloris,GK,87,Tottenham Hotspur,English Premier League,1,France,,,,,,
177003,399,Modrić,L. Modrić,Luka Modrić,CM,87,Real Madrid CF,Spain Primera Division,1,Croatia,73,76,89,88,72,66
183898,591,Di María,A. Di María,Ángel Fabián Di María Hernández,"RW, LW",87,Paris Saint-Germain,French Ligue 1,1,Argentina,83,81,86,88,48,69
186153,718,Szczęsny,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,87,Juventus,Italian Serie A,1,Poland,,,,,,
189596,696,Müller,T. Müller,Thomas Müller,"CAM, RM, RW",87,FC Bayern München,German 1. Bundesliga,1,Germany,67,84,83,79,56,71
192387,719,Immobile,C. Immobile,Ciro Immobile,ST,87,Lazio,Italian Serie A,1,Italy,86,87,67,81,39,77
195864,577,Pogba,P. Pogba,Paul Pogba,"CM, LM",87,Manchester United,English Premier League,1,France,71,81,86,86,65,83
199556,581,Verratti,M. Verratti,Marco Verratti,"CM, CAM",87,Paris Saint-Germain,French Ligue 1,1,Italy,64,61,87,91,79,67
207865,602,Marquinhos,Marquinhos,Marcos Aoás Corrêa,"CB, CDM",87,Paris Saint-Germain,French Ligue 1,1,Brazil,81,53,75,73,89,81
209658,695,Goretzka,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",87,FC Bayern München,German 1. Bundesliga,1,Germany,81,82,82,84,81,86
211110,717,Dybala,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",87,Juventus,Italian Serie A,1,Argentina,84,86,86,91,40,60
216267,572,Robertson,A. Robertson,Andrew Robertson,LB,87,Liverpool,English Premier League,1,Scotland,84,61,81,81,82,76
228702,680,de Jong,F. de Jong,Frenkie de Jong,"CM, CDM, CB",87,FC Barcelona,Spain Primera Division,1,Netherlands,81,69,85,88,77,78
231281,573,Alexander-Arnold,T. Alexander-Arnold,Trent Alexander-Arnold,RB,87,Liverpool,English Premier League,1,England,79,68,88,80,80,72
233049,578,Sancho,J. Sancho,Jadon Sancho,"RM, CF, LM",87,Manchester United,English Premier League,1,England,81,76,82,91,36,65
239818,352,Rúben Dias,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,87,Manchester City,English Premier League,1,Portugal,61,38,65,67,88,88
138956,724,Chiellini,G. Chiellini,Giorgio Chiellini,CB,86,Juventus,Italian Serie A,1,Italy,68,46,60,58,89,85
162835,476,Handanovič,S. Handanovič,Samir Handanovič,GK,86,Inter,Italian Serie A,1,Slovenia,,,,,,
178603,413,Hummels,M. Hummels,Mats Hummels,CB,86,Borussia Dortmund,German 1. Bundesliga,1,Germany,56,59,77,72,89,77
189332,675,Jordi Alba,Jordi Alba,Jordi Alba Ramos,"LB, LM",86,FC Barcelona,Spain Primera Division,1,Spain,86,69,81,83,77,71
189509,725,Thiago,Thiago,Thiago Alcântara do Nascimento,"CM, CDM",86,Liverpool,English Premier League,1,Spain,63,72,86,90,70,66
189511,676,Sergio Busquets,Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",86,FC Barcelona,Spain Primera Division,1,Spain,42,62,79,80,82,75
189513,677,Parejo,Parejo,Daniel Parejo Muñoz,CM,86,Villarreal CF,Spain Primera Division,1,Spain,50,83,90,81,71,69
192984,700,Casteels,K. Casteels,Koen Casteels,GK,86,VfL Wolfsburg,German 1. Bundesliga,1,Belgium,,,,,,
198219,720,Insigne,L. Insigne,Lorenzo Insigne,"LW, CF",86,Napoli,Italian Serie A,1,Italy,87,78,85,90,36,45
201024,723,Koulibaly,K. Koulibaly,Kalidou Koulibaly,CB,86,Napoli,Italian Serie A,1,Senegal,81,28,51,65,87,85
201535,722,Varane,R. Varane,Raphaël Varane,CB,86,Manchester United,English Premier League,1,France,82,49,64,63,87,82
204485,444,Mahrez,R. Mahrez,Riyad Mahrez,"RW, RM",86,Manchester City,English Premier League,1,Algeria,81,79,81,90,38,60
208093,679,Gerard Moreno,Gerard Moreno,Gerard Moreno Balagueró,"ST, RM, RW",86,Villarreal CF,Spain Primera Division,1,Spain,79,86,77,84,46,73
208830,726,Vardy,J. Vardy,Jamie Vardy,ST,86,Leicester City,English Premier League,1,England,85,84,70,80,52,73
209499,721,Fabinho,Fabinho,Fábio Henrique Tavares,"CDM, CB",86,Liverpool,English Premier League,1,Brazil,67,69,78,77,85,83
210514,445,João Cancelo,João Cancelo,João Pedro Cavaco Cancelo,"RB, LB",86,Manchester City,English Premier League,1,Portugal,85,71,83,84,80,72
212218,513,Laporte,A. Laporte,Aymeric Laporte,CB,86,Manchester City,English Premier League,1,Spain,63,50,72,68,86,80
213345,698,Coman,K. Coman,Kingsley Junior Coman,"LM, RM, LW",86,FC Bayern München,German 1. Bundesliga,1,France,93,76,79,88,30,60
218667,512,Bernardo Silva,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM, RW",86,Manchester City,English Premier League,1,Portugal,80,76,83,91,54,67
226161,414,Marcos Llorente,Marcos Llorente,Marcos Llorente Moreno,"CM, RM, ST",86,Atlético de Madrid,Spain Primera Division,1,Spain,88,80,81,82,78,82
231866,514,Rodri,Rodri,Rodrigo Hernández Cascante,CDM,86,Manchester City,English Premier League,1,Spain,61,70,77,77,82,82
232363,361,Škriniar,M. Škriniar,Milan Škriniar,CB,86,Inter,Italian Serie A,1,Slovakia,80,41,53,68,87,84
143076,688,Gómez,A. Gómez,Alejandro Darío Gómez,"CAM, CF, CM",85,Sevilla FC,Spain Primera Division,1,Argentina,87,78,84,87,39,55
163587,729,Schmeichel,K. Schmeichel,Kasper Peter Schmeichel,GK,85,Leicester City,English Premier League,1,Denmark,,,,,,
164240,351,Thiago Silva,Thiago Silva,Thiago Emiliano da Silva,CB,85,Chelsea,English Premier League,1,Brazil,53,54,72,71,86,78
168542,674,David Silva,David Silva,David Josué Jiménez Silva,"CAM, CM",85,Real Sociedad,Spain Primera Division,1,Spain,63,74,87,87,52,53
177683,699,Sommer,Y. Sommer,Yann Sommer,GK,85,Borussia Mönchengladbach,German 1. Bundesliga,1,Switzerland,,,,,,
179813,733,Cavani,E. Cavani,Edinson Roberto Cavani Gómez,ST,85,Manchester United,English Premier League,1,Uruguay,66,86,70,75,51,79
183277,436,Hazard,E. Hazard,Eden Hazard,LW,85,Real Madrid CF,Spain Primera Division,1,Belgium,84,80,82,88,35,63
184344,727,Bonucci,L. Bonucci,Leonardo Bonucci,CB,85,Juventus,Italian Serie A,1,Italy,64,58,69,71,86,80
185122,702,Gulácsi,P. Gulácsi,Péter Gulácsi,GK,85,RB Leipzig,German 1. Bundesliga,1,Hungary,,,,,,
186942,446,Gündoğan,I. Gündoğan,İlkay Gündoğan,"CM, CDM",85,Manchester City,English Premier League,1,Germany,65,80,85,86,73,72
188350,416,Reus,M. Reus,Marco Reus,"CAM, CF",85,Borussia Dortmund,German 1. Bundesliga,1,Germany,73,84,84,85,47,63
188377,443,Walker,K. Walker,Kyle Walker,RB,85,Manchester City,English Premier League,1,England,92,63,76,78,80,82
188567,734,Aubameyang,P. Aubameyang,Pierre-Emerick Aubameyang,"ST, LW, LM",85,Arsenal,English Premier League,1,Gabon,89,85,75,79,35,69
193747,550,Koke,Koke,Jorge Resurrección Merodio,"CM, CDM",85,Atlético de Madrid,Spain Primera Division,1,Spain,70,75,85,81,79,80
194765,551,Griezmann,A. Griezmann,Antoine Griezmann,"ST, LW, RW",85,Atlético de Madrid,Spain Primera Division,1,France,80,84,84,87,52,72
198176,478,de Vrij,S. de Vrij,Stefan de Vrij,CB,85,Inter,Italian Serie A,1,Netherlands,72,41,64,69,87,79
201942,735,Roberto Firmino,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,85,Liverpool,English Premier League,1,Brazil,77,78,79,89,59,78
202556,678,Depay,M. Depay,Memphis Depay,"CF, LW, CAM",85,FC Barcelona,Spain Primera Division,1,Netherlands,82,83,82,85,30,79
204963,358,Carvajal,Carvajal,Daniel Carvajal Ramos,RB,85,Real Madrid CF,Spain Primera Division,1,Spain,80,54,78,80,81,80
205498,388,Jorginho,Jorginho,Luiz Frello Filho Jorge,"CM, CDM",85,Chelsea,English Premier League,1,Italy,55,67,86,81,73,73
206113,701,Gnabry,S. Gnabry,Serge David Gnabry,"RM, LM, RW",85,FC Bayern München,German 1. Bundesliga,1,Germany,83,84,79,86,43,69
223848,730,Milinković-Savić,S. Milinković-Savić,Sergej Milinković-Savić,"CM, CDM, CAM",85,Lazio,Italian Serie A,1,Serbia,68,79,80,81,79,86
226790,728,Ndidi,W. Ndidi,Onyinye Wilfred Ndidi,"CDM, CM",85,Leicester City,English Premier League,1,Nigeria,67,62,69,74,87,83
230142,689,Oyarzabal,Oyarzabal,Mikel Oyarzabal Ugarte,"LW, RW",85,Real Sociedad,Spain Primera Division,1,Spain,82,82,81,84,41,63
231478,477,Martínez,L. Martínez,Lautaro Javier Martínez,ST,85,Inter,Italian Serie A,1,Argentina,84,81,72,85,48,84
231677,731,Rashford,M. Rashford,Marcus Rashford,"LM, ST",85,Manchester United,English Premier League,1,England,90,84,79,85,43,77
235212,605,Hakimi,A. Hakimi,Achraf Hakimi Mouh,"RB, RWB",85,Paris Saint-Germain,French Ligue 1,1,Morocco,95,71,78,84,76,78
235243,732,de Ligt,M. de Ligt,Matthijs de Ligt,CB,85,Juventus,Italian Serie A,1,Netherlands,73,59,60,68,84,87
41236,524,Ibrahimović,Z. Ibrahimović,Zlatan Ibrahimović,ST,84,AC Milan,Italian Serie A,1,Sweden,65,87,78,79,34,77
146536,1159,Jesús Navas,Jesús Navas,Jesús Navas González,"RB, RM",84,Sevilla FC,Spain Primera Division,1,Spain,87,69,81,84,79,58
152729,1191,Piqué,Piqué,Gerard Piqué Bernabéu,CB,84,FC Barcelona,Spain Primera Division,1,Spain,58,61,71,67,85,78
175943,779,Mertens,D. Mertens,Dries Mertens,"CF, ST, CAM",84,Napoli,Italian Serie A,1,Belgium,85,82,80,88,34,50
181291,590,Wijnaldum,G. Wijnaldum,Georginio Wijnaldum,"CM, CDM",84,Paris Saint-Germain,French Ligue 1,1,Netherlands,77,75,80,86,79,79
183711,802,Henderson,J. Henderson,Jordan Henderson,"CDM, CM",84,Liverpool,English Premier League,1,England,66,74,83,78,78,81
184134,1831,Fernando,Fernando,Fernando Francisco Reges,"CDM, CM",84,Sevilla FC,Spain Primera Division,1,Brazil,66,62,75,73,83,82
186345,549,Trippier,K. Trippier,Kieran Trippier,"RB, RWB, RM",84,Atlético de Madrid,Spain Primera Division,1,England,73,63,82,77,80,72
192629,2452,Iago Aspas,Iago Aspas,Iago Aspas Juncal,"ST, RW",84,RC Celta de Vigo,Spain Primera Division,1,Spain,82,85,79,86,35,63
193080,2495,De Gea,De Gea,David De Gea Quintana,GK,84,Manchester United,English Premier League,1,Spain,,,,,,
197445,406,Alaba,D. Alaba,David Olatukunbo Alaba,"CB, LB",84,Real Madrid CF,Spain Primera Division,1,Austria,77,70,81,80,83,76
