[21/02/2021 15:56:23] ||  - - - - Bot started - - - - 
[21/02/2021 15:58:20] ||  - - - - Bot started - - - - 
[21/02/2021 16:02:30] ||  - - - - Bot started - - - - 
[21/02/2021 16:07:24] || Added player to player list
[21/02/2021 16:07:24] || Fetching player info
[21/02/2021 16:08:06] ||  - - - - Bot started - - - - 
[21/02/2021 16:08:28] || Fetching player info
[21/02/2021 16:08:29] || Added player to player list
[21/02/2021 16:09:10] ||  - - - - Bot started - - - - 
[21/02/2021 16:09:16] || Fetching player info
[21/02/2021 16:09:16] || Added player to player list
[21/02/2021 16:10:07] || Auto logging in using credentials
[21/02/2021 16:10:08] || AutoLogin...
[21/02/2021 16:10:24] || Unable to fetch access code from email (see ReadMe for help on this), enter it manually
[21/02/2021 16:11:23] || Autobidder started
[21/02/2021 16:11:28] || waiting a sec Should click result number: 4
[21/02/2021 16:11:33] || Bidding on ÁNGEL up to MARKET price: 700. Purchase ceiling: 595.0
[21/02/2021 16:11:41] || Going to next page
[21/02/2021 16:11:45] || Time remaining of players on page exceeded 40 minutes, RETURN
[21/02/2021 16:11:45] || Finished bidding on:ÁNGEL
[21/02/2021 16:11:51] || waiting a sec Should click result number: 4
[21/02/2021 16:11:56] || Bidding on RODRÍGUEZ up to FUTBIN price: 1200. Will determine actual market price while searching. Purchase ceiling: 1020.0
[21/02/2021 16:12:09] || Bids made on RODRÍGUEZ: 1/5
[21/02/2021 16:12:13] || Going to next page
[21/02/2021 16:12:19] || Going to next page
[21/02/2021 16:12:26] || Going to next page
[21/02/2021 16:12:36] || Bids made on RODRÍGUEZ: 2/5
[21/02/2021 16:12:42] || Going to next page
[21/02/2021 16:12:45] || Time remaining of players on page exceeded 40 minutes, RETURN
[21/02/2021 16:12:46] || Finished bidding on:RODRÍGUEZ
[21/02/2021 16:12:47] || Parsing market data to find most accurate sell prices...
[21/02/2021 16:12:48] || Ángel min buy now from market data: 700
[21/02/2021 16:12:49] || Rodríguez min buy now from market data: 1100
[21/02/2021 16:12:50] || Going to watchlist. Time for war
[21/02/2021 16:12:53] || Num active bids: 2
[21/02/2021 16:13:09] || Num active bids: 2
[21/02/2021 16:13:24] || Num active bids: 2
[21/02/2021 16:13:40] || Num active bids: 2
[21/02/2021 16:13:56] || Num active bids: 2
[21/02/2021 16:14:12] || Num active bids: 2
[21/02/2021 16:14:29] || Num active bids: 2
[21/02/2021 16:14:44] || Num active bids: 2
[21/02/2021 16:14:59] || Num active bids: 2
[21/02/2021 16:15:00] || Num active bids: 2
[21/02/2021 16:15:01] || Num active bids: 2
[21/02/2021 16:15:02] || Num active bids: 2
[21/02/2021 16:15:02] || Num active bids: 2
[21/02/2021 16:15:03] || Num active bids: 2
[21/02/2021 16:15:05] || Num active bids: 2
[21/02/2021 16:15:06] || Num active bids: 2
[21/02/2021 16:15:07] || Num active bids: 2
[21/02/2021 16:15:08] || Num active bids: 2
[21/02/2021 16:15:08] || Num active bids: 2
[21/02/2021 16:15:09] || Num active bids: 2
[21/02/2021 16:15:09] || Num active bids: 2
[21/02/2021 16:15:10] || Num active bids: 2
[21/02/2021 16:15:10] || Num active bids: 2
[21/02/2021 16:15:11] || Num active bids: 2
[21/02/2021 16:15:12] || Num active bids: 2
[21/02/2021 16:15:13] || Num active bids: 2
[21/02/2021 16:15:14] || Num active bids: 2
[21/02/2021 16:15:15] || Num active bids: 2
[21/02/2021 16:15:15] || Num active bids: 2
[21/02/2021 16:15:16] || Num active bids: 2
[21/02/2021 16:15:16] || Num active bids: 2
[21/02/2021 16:15:17] || Num active bids: 2
[21/02/2021 16:15:18] || Num active bids: 2
[21/02/2021 16:15:19] || Num active bids: 2
[21/02/2021 16:15:19] || Num active bids: 2
[21/02/2021 16:15:20] || Num active bids: 2
[21/02/2021 16:15:21] || Num active bids: 2
[21/02/2021 16:15:23] || Num active bids: 2
[21/02/2021 16:15:23] || Num active bids: 2
[21/02/2021 16:15:24] || Num active bids: 2
[21/02/2021 16:15:25] || Num active bids: 2
[21/02/2021 16:15:26] || Num active bids: 2
[21/02/2021 16:15:26] || Num active bids: 2
[21/02/2021 16:15:27] || Num active bids: 2
[21/02/2021 16:15:29] || Num active bids: 2
[21/02/2021 16:15:29] || Num active bids: 2
[21/02/2021 16:15:30] || Num active bids: 2
[21/02/2021 16:15:31] || Num active bids: 2
[21/02/2021 16:15:32] || Num active bids: 2
[21/02/2021 16:15:33] || Num active bids: 2
[21/02/2021 16:15:34] || Num active bids: 2
[21/02/2021 16:15:35] || Num active bids: 2
[21/02/2021 16:15:35] || Num active bids: 2
[21/02/2021 16:15:36] || Num active bids: 2
[21/02/2021 16:15:37] || Num active bids: 2
[21/02/2021 16:15:38] || Num active bids: 2
[21/02/2021 16:15:38] || Num active bids: 2
