,Adetayo,Edun,65,229378
,Luca,de la Torre,68,229379
,Ahmed,Kutucu,69,245762
Palhinha,João Maria,Palhinha Gonçalves,82,229391
João Novais,João Pedro,Barradas Novais,73,229406
Ozkoidi,Josu,Ozkoidi Alba,65,229409
Iniesta,Andrés,Iniesta Luján,79,41
,Andreas,Bouchalakis,75,223922
,Yanis,Rahmani,70,229428
,Sven,Müller,65,234846
,Michel,Vlap,72,229435
,Stefan,Gartenmann,69,229436
,Joris,Chougrani,66,248780
Gil Dias,Gil,Bastião Dias,75,229453
,Alessandro,Diamanti,76,163925
,Jean,Meneses,76,229469
,Finn,Porath,67,229472
Costinha,João José,Pereira da Costa,68,229473
,Waldemar,Anton,75,229476
Iván Jaime,Iván,Jaime Pajuelo,70,246070
,Pierre,Bardy,68,248781
Vitor Carvalho,Vitor,Carvalho Vieira,65,255471
,Lukas,Klünter,70,229487
,Fernando,Madrigal,68,229488
,Houboulang,Mendes,68,234856
Miguel Vieira,Luís Miguel,Vieira da Silva,67,229494
Marco Baixinho,Marco João,Costa Baixinho,71,229496
,Sven,Sprangler,65,229508
Mayoral,David,Mayoral Lastras,66,229516
Toni Villa,Antonio,Villa Suárez,76,229517
,Mykola,Matvienko,73,229528
,Horacio,Tijanovich,67,229536
,Arthur,Desmas,72,229542
,Dayot,Upamecano,82,229558
Mexer,Edson André,Sitoe,72,196801
,Efecan,Karaca,73,234870
,Arturo,Calabresi,69,229574
,Gianluca,Mancini,80,229582
,Pascal,Stenzel,70,229584
,Renzo,Zambrano,67,229588
,Marko,Pjaca,75,229593
,Ante,Ćorić,69,229594
,Lucas,Rodríguez,73,229595
,Lucas,Höler,71,234875
,Callum,Connolly,66,229605
,Robin,Becker,66,229610
,Vladimir,Rodić,65,229620
Sergi Guardiola,Sergio,Guardiola Navarro,72,229624
Fali,Rafael,Jiménez Jarque,75,229628
,Lucas,Pirard,66,223957
,Gastón,Pereiro,73,229636
,Moses,Odubajo,69,202113
,Mads,Pedersen,68,229640
,Jules,Van Cleemput,71,229648
,Cristian,Gutiérrez,68,229650
,Simone,Verdi,75,196889
,Cristian,Dájome,72,229658
,Bryan,Heynen,75,229659
,Demba,Thiam,66,256730
,Ahmed,Barman,66,247696
Mario Hermoso,Mario,Hermoso Canseco,82,229668
,Dael,Fry,73,229682
Rodrigo Pinho,Rodrigo Cunha,Pereira de Pinho,73,229683
,Marlon,Pack,72,196916
,Jannik,Huth,70,229692
Moon Seon Min,Seon Min,Moon,71,229694
,Nicolás,Benedetti,72,229699
,Philipp,Ochs,66,229701
,Oğuzhan,Özyakup,72,196934
Ignasi Miquel,Ignasi,Miquel i Pons,71,196935
,Jérémy,Vachoux,65,229704
,Jean-Kévin,Duverne,71,229705
,Jonathan,Lewis,66,229707
Iñigo Pérez,Iñigo,Pérez Soto,74,196942
,Boniek,García,65,196948
,Emil,Bohinen,69,234894
,Jake,Bidwell,72,196952
,Aristote,Nsiala,65,196953
,Mathias,Jensen,74,229723
,Florian,Kamberi,67,229728
,Harun,Alpsoy,65,229742
,Bright,Enobakhare,66,229745
,Callum,Wilson,79,196978
,Mayron,George,68,229748
,Djibril,Sow,77,229752
,Tsiy-William,Ndenge,65,229753
Manu García,Manuel,García Alonso,73,223978
,Rade,Krunić,75,229758
Olaetxea,Lander,Olaetxea,67,229765
,Georgiy,Dzhikiya,77,229773
Thiago Silva,Thiago Emiliano,da Silva,85,164240
Rubén Alcaraz,Rubén,Alcaraz Jiménez,74,229788
,Houssem,Aouar,81,234906
,Mu,Kanazaki,68,213061
,Benjamin,Tetteh,72,229793
,Marvin,Ducksch,73,197031
,Emanuel,Taffertshofer,67,229803
,Alexandru,Mitriță,74,229804
,Nico,Antonitsch,65,229815
,Rene,Swete,68,229817
,Dominik,Baumgartner,69,229818
,Joel,Matip,83,197061
,Osvaldo,Rodríguez,69,229831
