,Adetayo,Edun,61,229378
,Luca,de la Torre,64,229379
,Umaru,Bangura,63,196615
,Linus,Obexer,58,233502
,Ahmed,Kutucu,68,245762
Palhinha,João Maria,Palhinha Gonçalves,78,229391
,Sam,Hornby,58,229393
,Carl,Tremarco,62,163858
,Miguel,Vargas,60,229397
,Amro,Tarek,69,229404
João Novais,João Pedro,Barradas Novais,74,229406
Ozkoidi,Josu,Ozkoidi Alba,66,229409
,Dimitrios,Kolovos,68,223921
Iniesta,Andrés,Iniesta Luján,81,41
,Gavin,Reilly,59,229419
,Andreas,Bouchalakis,72,223922
,Yanis,Rahmani,67,229428
,Sven,Müller,63,234846
,Erik,Majetschak,60,245769
,Adrián,Zendejas,62,229433
,Michel,Vlap,72,229435
,Stefan,Gartenmann,64,229436
,Florian,Ayé,70,229448
,Joris,Chougrani,65,248780
Gil Dias,Gil,Bastião Dias,71,229453
,Lorenzo,Dickmann,70,229456
,Alessandro,Diamanti,75,163925
,Gabriel,Bares,58,256697
,Cris,Martínez,68,229466
,Jean,Meneses,73,229469
Jean Cléber,Jean Cléber,Santos da Silva,65,234853
,Finn,Porath,66,229472
Costinha,João José,Pereira da Costa,68,229473
,Waldemar,Anton,72,229476
,Mike-Steven,Bähre,65,229477
Iván Jaime,Iván,Jaime Pajuelo,62,246070
,Pierre,Bardy,65,248781
Vitor Carvalho,Vitor,Carvalho Vieira,66,255471
,Lukas,Klünter,72,229487
,Fernando,Madrigal,64,229488
,Houboulang,Mendes,67,234856
,Noah,Falk,51,256702
Miguel Vieira,Luís Miguel,Vieira da Silva,70,229494
,Miguel,Fraga,70,169321
Marco Baixinho,Marco João,Costa Baixinho,68,229496
Jaquité,João,Lamine Jaquité,69,229500
,Frederik,Lauenborg,62,229504
,Sven,Sprangler,64,229508
,Julius,Ertlthaler,61,229513
Ángel García,Ángel,García Cabezali,65,229515
Mayoral,David,Mayoral Lastras,68,229516
Toni Villa,Antonio,Villa Suárez,77,229517
Francisco Ramos,Francisco,Neto Ramos,67,229522
,Maksym,Malyshev,70,229526
,Sergiy,Gryn,63,229527
,Mykola,Matvienko,73,229528
,Rick,Wulle,63,229530
,René,Meléndez,64,229535
,Horacio,Tijanovich,67,229536
,Tomás,Cardona,70,229537
,Arthur,Desmas,68,229542
,Louis,Appéré,65,256711
,Dayot,Upamecano,79,229558
,Hamad,Hawsawi,54,240330
Mexer,Edson André,Sitoe,75,196801
,Nemanja,Antonov,66,229571
,Efecan,Karaca,74,234870
,Arturo,Calabresi,71,229574
,Gianluca,Mancini,76,229582
,Pascal,Stenzel,72,229584
,Renzo,Zambrano,66,229588
,David,Kasumu,60,233938
,Marko,Pjaca,75,229593
,Ante,Ćorić,71,229594
,Lucas,Rodríguez,72,229595
,Simon,Straudi,61,248823
,Maximilian,Jansen,64,234874
,Lucas,Höler,71,234875
,Callum,Connolly,65,229605
,Victorien,Angban,71,229606
,George,Mells,58,229607
,Robin,Becker,65,229610
,Fernando,Souza,54,255803
,Harvey,Saunders,51,251261
,Írven,Ávila,65,196848
Adriano,Adriano,Correia Claro,74,164082
,Felipe,Carvalho,68,229619
,Vladimir,Rodić,68,229620
,Joel,Sánchez,64,196853
Sergi Guardiola,Sergio,Guardiola Navarro,77,229624
,Simone,Rapp,63,229625
Fali,Rafael,Jiménez Jarque,71,229628
,Fernando,Coniglio,63,216052
,Lucas,Pirard,66,223957
,Gastón,Pereiro,75,229636
,Gökhan,Akkan,72,229637
,Moses,Odubajo,69,202113
,Mads,Pedersen,68,229640
,Francisco,Flores,66,196873
,Jules,Van Cleemput,68,229648
,Gabriel,Suazo,68,229649
,Cristian,Gutiérrez,68,229650
,José Luis,Granados,67,196883
,Carlos,Lampe,69,196885
,Edemir,Rodríguez,64,196887
,Simone,Verdi,77,196889
,Cristian,Dájome,69,229658
,Bryan,Heynen,73,229659
,Demba,Thiam,65,256730
,Martin,Polaček,64,229662
,Ahmed,Barman,68,247696
Héldon,Héldon Augusto,Almeida Ramos,76,196899
Mario Hermoso,Mario,Hermoso Canseco,80,229668
,Jakov,Puljić,66,255761
,Sandro,Wieser,64,196905
,Brandon,Haunstrup,65,229676
,Franck,Bambock,69,229677
,Gilbert,Álvarez,65,196910
,Jack,Malone,54,252061
,Dael,Fry,70,229682
Rodrigo Pinho,Rodrigo Cunha,Pereira de Pinho,69,229683
,Marlon,Pack,73,196916
Henrique,Henrique,Gelain Custódio,68,229686
,Helmut,Gutiérrez,62,196919
,Wim,Vanmarsenille,55,257517
,Jannik,Huth,70,229692
Moon Seon Min,Seon Min,Moon,72,229694
,Nicolás,Benedetti,72,229699
,Philipp,Ochs,67,229701
,Oğuzhan,Özyakup,75,196934
Ignasi Miquel,Ignasi,Miquel i Pons,69,196935
,Jérémy,Vachoux,65,229704
,Jean-Kévin,Duverne,67,229705
,Jonathan,Lewis,65,229707
,Calum,Butcher,64,196940
Iñigo Pérez,Iñigo,Pérez Soto,74,196942
Jorge,Jorge Marco,de Oliveira Moraes,76,229712
,José,Bizama,68,229713
,Boniek,García,66,196948
,Emil,Bohinen,68,234894
,Will,Patching,58,229718
